Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,MTP
C7,H2O,HIS3.3,UNKNOWN,SYBR,None,0.026496764,2.62153E-08,26781.2207,32.64896011,37.28043365,6.549895287,,0.994678497,4.635971069,,,5.23803997,TRUE,96203.30484,TRUE,3,26,1,77.64054108,,,,Y,N
C8,H2O,HIS3.3,UNKNOWN,SYBR,None,0.026496764,2.62153E-08,26781.2207,41.91191101,37.28043365,6.549895287,,0.994678497,4.635971069,,,5.23803997,TRUE,96203.30484,TRUE,3,33,1,76.75946045,,,,Y,N
D1,Rag2KO Day 0,Bach2,UNKNOWN,SYBR,None,1,0.739627659,1.352031708,24.07792664,24.03624916,0.05894085,,1.205704689,0.101130389,,,0,TRUE,175645.0976,TRUE,3,14,1,79.75513458,,,,N,N
D2,Rag2KO Day 0,Bach2,UNKNOWN,SYBR,None,1,0.739627659,1.352031708,23.99457169,24.03624916,0.05894085,,1.205704689,0.101130389,,,0,TRUE,175645.0976,TRUE,3,15,1,80.28378296,,,,N,N
D3,Rag2KO Day 4 2 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,0.773778439,0.582103431,1.028568268,23.81916618,23.87249756,0.0754233,,1.575712204,0.095439978,,,0.370007515,TRUE,175645.0976,TRUE,3,14,1,80.45999908,,,,N,N
D4,Rag2KO Day 4 2 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,0.773778439,0.582103431,1.028568268,23.92583084,23.87249756,0.0754233,,1.575712204,0.095439978,,,0.370007515,TRUE,175645.0976,TRUE,3,16,1,80.63621521,,,,N,N
D5,Rag2KO Day 7 2 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,2.493342161,2.351767778,2.643439293,22.61750221,22.59817505,0.027331388,,-0.112376213,0.019600766,,,-1.318080902,TRUE,175645.0976,TRUE,3,14,1,80.81243134,,,,N,N
D6,Rag2KO Day 7 2 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,2.493342161,2.351767778,2.643439293,22.57884979,22.59817505,0.027331388,,-0.112376213,0.019600766,,,-1.318080902,TRUE,175645.0976,TRUE,3,15,1,80.63621521,,,,N,N
D7,H2O,Bach2,UNKNOWN,SYBR,None,4.689828396,2.192118645,10.03343964,35.10906219,35.26192474,0.216182992,,-1.023830414,0.255007625,,,-2.229535103,TRUE,175645.0976,TRUE,3,25,1,77.1118927,,,,N,N
D8,H2O,Bach2,UNKNOWN,SYBR,None,4.689828396,2.192118645,10.03343964,35.41479111,35.26192474,0.216182992,,-1.023830414,0.255007625,,,-2.229535103,TRUE,175645.0976,TRUE,3,25,1,77.64054108,,,,N,N
E1,Rag2KO Day 0,Ebf1,UNKNOWN,SYBR,None,1,0.658457935,1.518700004,21.65888977,21.76443481,0.149264574,,-1.066108704,0.140108183,,,0,TRUE,146010.4921,TRUE,3,13,1,75.34973145,,,,N,N
E2,Rag2KO Day 0,Ebf1,UNKNOWN,SYBR,None,1,0.658457935,1.518700004,21.86998177,21.76443481,0.149264574,,-1.066108704,0.140108183,,,0,TRUE,146010.4921,TRUE,3,13,1,75.52594757,,,,N,N
E3,Rag2KO Day 4 2 ng/ml IL-7,Ebf1,UNKNOWN,SYBR,None,0.434793353,0.341346622,0.553822041,22.45011711,22.43227577,0.025231464,,0.135489464,0.081134245,,,1.201598167,TRUE,146010.4921,TRUE,3,15,1,75.87837982,,,,N,N
E4,Rag2KO Day 4 2 ng/ml IL-7,Ebf1,UNKNOWN,SYBR,None,0.434793353,0.341346622,0.553822041,22.41443443,22.43227577,0.025231464,,0.135489464,0.081134245,,,1.201598167,TRUE,146010.4921,TRUE,3,14,1,76.05459595,,,,N,N
E5,Rag2KO Day 7 2 ng/ml IL-7,Ebf1,UNKNOWN,SYBR,None,0.700072229,0.516743541,0.948441684,22.26062584,22.15886688,0.143907547,,-0.55168438,0.101810507,,,0.514424324,TRUE,146010.4921,TRUE,3,15,1,76.05459595,,,,N,N
